Sound Lvl ch.0 (V),Sound Lvl ch.1 (V)
-1.054049e+00,-1.033897e+00
-1.053142e+00,-1.032245e+00
-1.058002e+00,-1.035031e+00
-1.056188e+00,-1.033832e+00
-1.057419e+00,-1.034739e+00
-1.060140e+00,-1.035452e+00
-1.061080e+00,-1.037947e+00
-1.063056e+00,-1.039437e+00
-1.062408e+00,-1.038854e+00
-1.062311e+00,-1.039988e+00
-1.059557e+00,-1.038660e+00
-1.060659e+00,-1.038141e+00
-1.057516e+00,-1.037169e+00
-1.057548e+00,-1.037720e+00
-1.058456e+00,-1.036748e+00
-1.059881e+00,-1.036489e+00
-1.057905e+00,-1.036780e+00
-1.059330e+00,-1.037817e+00
-1.056641e+00,-1.035646e+00
-1.059039e+00,-1.037817e+00
-1.056836e+00,-1.035970e+00
-1.057322e+00,-1.035841e+00
-1.055961e+00,-1.034577e+00
-1.057322e+00,-1.035193e+00
-1.058326e+00,-1.035808e+00
-1.059363e+00,-1.037007e+00
-1.060108e+00,-1.036975e+00
-1.058391e+00,-1.035290e+00
-1.059071e+00,-1.037007e+00
-1.056998e+00,-1.035258e+00
-1.058132e+00,-1.036262e+00
-1.058326e+00,-1.036878e+00
-1.058294e+00,-1.036327e+00
-1.057354e+00,-1.036813e+00
-1.057257e+00,-1.036068e+00
-1.058553e+00,-1.036521e+00
-1.061631e+00,-1.038012e+00
-1.057905e+00,-1.036878e+00
-1.059136e+00,-1.036327e+00
-1.057743e+00,-1.035711e+00
-1.057224e+00,-1.035452e+00
-1.057840e+00,-1.034642e+00
-1.057581e+00,-1.035225e+00
-1.059168e+00,-1.036327e+00
-1.058909e+00,-1.035517e+00
-1.057808e+00,-1.036197e+00
-1.058391e+00,-1.036910e+00
-1.062473e+00,-1.039405e+00
-1.055799e+00,-1.036586e+00
-1.058618e+00,-1.037461e+00
-1.060724e+00,-1.038854e+00
-1.054697e+00,-1.035258e+00
-1.061955e+00,-1.038174e+00
-1.057516e+00,-1.036651e+00
-1.056738e+00,-1.036197e+00
-1.061728e+00,-1.036554e+00
-1.053984e+00,-1.033703e+00
-1.063834e+00,-1.038822e+00
-1.054762e+00,-1.034610e+00
-1.059136e+00,-1.036294e+00
-1.059946e+00,-1.036748e+00
-1.056900e+00,-1.035290e+00
-1.056350e+00,-1.034351e+00
-1.058294e+00,-1.035128e+00
-1.055572e+00,-1.034415e+00
-1.060076e+00,-1.038012e+00
-1.057548e+00,-1.036327e+00
-1.063704e+00,-1.039761e+00
-1.051231e+00,-1.031629e+00
-1.065551e+00,-1.038951e+00
-1.048055e+00,-1.031726e+00
-1.064547e+00,-1.039437e+00
-1.053369e+00,-1.035031e+00
-1.056771e+00,-1.034448e+00
-1.066361e+00,-1.040247e+00
-1.049643e+00,-1.032860e+00
-1.065616e+00,-1.040215e+00
-1.058261e+00,-1.038076e+00
-1.053887e+00,-1.031985e+00
-1.067430e+00,-1.041446e+00
-1.054632e+00,-1.037299e+00
-1.054341e+00,-1.034091e+00
-1.064838e+00,-1.040571e+00
-1.062019e+00,-1.040474e+00
-1.053822e+00,-1.034966e+00
-1.058747e+00,-1.035128e+00
-1.066620e+00,-1.040312e+00
-1.054665e+00,-1.035420e+00
-1.053498e+00,-1.033314e+00
-1.057970e+00,-1.035711e+00
