Sound Lvl ch.0 (V),Sound Lvl ch.1 (V)
-9.417858e-01,-9.251650e-01
-8.798060e-01,-8.851195e-01
-8.842771e-01,-8.692439e-01
-9.424986e-01,-8.975608e-01
-9.870800e-01,-9.366667e-01
-9.637201e-01,-9.405546e-01
-9.050127e-01,-9.079610e-01
-8.702482e-01,-8.733586e-01
-8.696975e-01,-8.577097e-01
-8.971396e-01,-8.654208e-01
-9.459977e-01,-8.957789e-01
-9.874040e-01,-9.338156e-01
-1.009144e+00,-9.636553e-01
-9.973506e-01,-9.709776e-01
-9.648865e-01,-9.565599e-01
-9.371851e-01,-9.363751e-01
-9.116221e-01,-9.142140e-01
-8.858971e-01,-8.908542e-01
-8.665871e-01,-8.686931e-01
-8.601721e-01,-8.547614e-01
-8.647404e-01,-8.531090e-01
-8.661983e-01,-8.522019e-01
-8.666519e-01,-8.515863e-01
-8.769225e-01,-8.580661e-01
-8.932517e-01,-8.717062e-01
-9.084794e-01,-8.860267e-01
-9.148944e-01,-8.972692e-01
-9.187175e-01,-9.017079e-01
-9.272061e-01,-9.064382e-01
-9.568515e-01,-9.218927e-01
-1.001174e+00,-9.514084e-01
-1.009209e+00,-9.668304e-01
-9.757402e-01,-9.542919e-01
-9.369259e-01,-9.282105e-01
-9.130153e-01,-9.085442e-01
-9.153804e-01,-9.049803e-01
-9.352088e-01,-9.159636e-01
-9.628453e-01,-9.337508e-01
-9.664093e-01,-9.372499e-01
-9.434706e-01,-9.253270e-01
-9.327140e-01,-9.149592e-01
-9.464189e-01,-9.231238e-01
-9.710748e-01,-9.389347e-01
-9.562035e-01,-9.321632e-01
-9.143436e-01,-9.047859e-01
-9.034251e-01,-8.911458e-01
-9.351116e-01,-9.080258e-01
-9.550695e-01,-9.212123e-01
-9.363103e-01,-9.137281e-01
-9.238042e-01,-9.038139e-01
-9.293769e-01,-9.053366e-01
-9.089654e-01,-8.926685e-01
-9.132097e-01,-8.937701e-01
-9.695520e-01,-9.279189e-01
-9.537735e-01,-9.237718e-01
-8.769549e-01,-8.779269e-01
-9.257158e-01,-9.000556e-01
-9.703296e-01,-9.271090e-01
-9.008655e-01,-8.925389e-01
-9.253918e-01,-9.032631e-01
-9.320336e-01,-9.061142e-01
-9.276597e-01,-9.065678e-01
-9.413322e-01,-9.122053e-01
-8.884890e-01,-8.856703e-01
